nama,porsi,kalori,lemak,karbs,protein,sodium,kolesterol
Ikan Mas Goreng,1 gram (g),1,"0,04g",0g,"0,18g",0g,"0,019g"
Fajita dengan Ayam dan Sayuran,1 tortilla,352,"12,11g","41,52g","19,67g","4,82g","6,21g"
Sayap Ayam Panggang (Kulit Dimakan),"1 kecil (hasil setelah masak, tulang dihilangkan)",86,"5,79g",0g,"7,99g",0g,"2,273g"
Paha Ayam (Kulit tidak Dimakan),"1 kecil (hasil setelah masak, tulang dan kulit dihilangkan)",95,"4,96g",0g,"11,83g",0g,"1,893g"
Bayam,100 gram (g),23,"0,39g","3,63g","2,86g","0,42g","0,01g"
Okra Goreng Dicelup Adonan,1 mangkok,173,"12,94g","13,12g","2,37g","2,93g","4,391g"
Kulit Kentang Goreng,1 mangkok,465,"13,82g","79,8g","7,39g","3,43g","8,1g"
Nasi Goreng Babi,1 mangkok,335,"12,87g","41,94g","11,94g","1,41g","5,659g"
"Salad Hijau Ayam atau Kalkun (Ayam dan/atau Kalkun, Tomat dan/atau Wortel, Sayuran Lainnya)",1 mangkok,58,"1,13g","2,13g","9,49g","1,27g","0,369g"
Ayam Taliwang,1 porsi (120 g),312,"23,66g","3,16g","21,32g","0,4g","6,252g"
Gulai Ayam,1 potong,202,"14,88g",4g,"14,33g","0,19g","2,92g"
Ayam Geprek,100 gram (g),263,"17,99g","7,6g","17,61g","0,78g","9,191g"
Bubur Ayam,1 porsi (240 g),372,"12,39g","36,12g","27,56g","1,9g","2,955g"
Ayam Rica-Rica,1 porsi (200 g),404,"22,82g","7,41g","40,99g","0,68g","9,049g"
"Dada Ayam (Panggang Oven, Bebas Lemak, Iris)",100 gram (g),79,"0,39g","2,17g","16,79g","0,1g","0,121g"
Taquitos dengan Ayam,100 gram (g),245,"12,63g","19,02g","14,49g","0,83g","4,813g"
Ayam (Kulit tidak Dimakan),100 gram (g),188,"7,35g",0g,"28,69g",0g,"2,638g"
"Sup Ayam (dan) Sayur (dengan Volume Air yang Sama, Kalengan)",1 gelas (240 ml),75,"2,84g","8,58g","3,62g","1,3g","1,277g"
Sayap Ayam (Kulit tidak Dimakan),"1 kecil (hasil setelah masak, tulang dan kulit dihilangkan)",34,"1,37g",0g,"5,14g",0g,"0,44g"
"Kentang Goreng (Seperti Waktu Beli, Ditambahi Garam, Beku)",100 gram (g),174,"5,05g","29,92g","2,12g","0,21g","3,102g"
"Nachos dengan Daging Sapi, Kacang-kacangan, Keju dan Krim Asam",1 pesanan,1598,"92,62g","137,92g","60,06g","4,68g","33,799g"
Acar Mentimun Asam,1 tusuk,3,"0,06g","0,68g","0,1g","0,32g","0,001g"
Bayam Bayi/Kecil,1 mangkok,7,"0,12g","1,09g","0,86g","0,13g","0,003g"
Krim Asam,1 sdm,31,"3,02g","0,61g","0,46g","0,02g","0,872g"
"Taco atau Tostada Salad dengan Daging Sapi, Kacang-kacangan dan Keju dalam Tortilla Goreng Tepung",1 salad,404,"24,94g","27,96g","18,12g","2,95g","12,073g"
"Bayam (Kering Padat, Kaleng)",1 mangkok,49,"1,07g","7,28g","6,01g","0,86g","0,03g"
Souffle Bayam,1 mangkok,233,"17,61g","7,92g","10,76g",1g,"0,83g"
Asam Jawa,100 gram (g),239,"0,6g","62,5g","2,8g","57,4g","0,181g"
Ayam Bakar (Kulit tidak Dimakan),"1 potong sedang (hasil setelah masak, tulang dan kulit dihilangkan)",98,"3,82g",0g,"14,92g",0g,"1,372g"
Dada Ayam (Kulit tidak Dimakan),100 gram (g),164,"3,54g",0g,"30,76g",0g,"1,23g"
Gekikara Ramen Goreng,1 bungkus (120 g),550,23g,71g,12g,,"71,00g"
Mie Goreng Spesial,1 cangkir (80 g),380,20g,45g,6g,,"45,00g"
Rasa Ayam Bawang,1 bungkus (69 g),300,11g,43g,7g,1330mg,0mg
Mi Goreng Pedas,1 bungkus (79 g),360,13g,52g,8g,"2,0g","0,000g"
Mi Goreng Cakalang,1 porsi (82 g),420,16g,60g,9g,,"60,00g"
Mie Goreng Sedaaap,1 porsi (90 g),410,17g,58g,8g,,"8,00g"
Rasa Ayam Spesial,1 bungkus (69 g),320,13g,41g,8g,,"8,00g"
Mie Ayam Shirataki,100 g,170,6g,4g,20g,,
Mie Goreng Shirataki,1 bungkus (71 g),100,1g,24g,1g,"5,0g","0,000g"
Siomay Ayam Jamur,5 biji (87 g),120,"1,5g",20g,6g,,"20,00g"
Bumbu Soto Ayam,1 serving (13 g),30,2g,3g,0g,"1,0g","0,000g"
Mie Goreng Pedas,1 porsi (80 g),370,17g,49g,6g,,"6,00g"
Fitmee Ayam Bawang,1 porsi (71 g),30,0g,7g,0g,"1,0g","0,000g"
Daging Ayam Luncheon,1 porsi (50 g),90,6g,4g,4g,,"4,00g"
Nasi Goreng Soto,"1 porsi (4,25 g)",10,0g,2g,0g,,"0,00g"
Goreng Pedes Gledek,1 bungkus (75 g),370,18g,45g,6g,,"6,00g"
Mie Goreng Korea,1 porsi (65 g),260,5g,44g,8g,,"44,00g"
Potabee Ayam Bakar,1 porsi (30 g),170,11g,15g,2g,,"15,00g"
CAP 3 Ayam,1 serving (67 g),230,0g,49g,8g,,"49,00g"
Mie Kari Ayam,1 porsi (73 g),300,5g,54g,8g,970mg,0mg
Rasa Ayam Spesial,1 porsi (75 g),340,14g,46g,7g,,"7,00g"
Tepung Bakso Goreng,4 biji (35 g),90,0g,21g,1g,,"1,00g"
Rasa Kaldu Ayam,1 bungkus (55 g),240,9g,35g,5g,0mg,"5,00g"
Sosis Ayam Keju,100 g,220,14g,8g,14g,950mg,58mg
Tasty Bakmi Ayam Daging Ayam Asli,1 bungkus (129 g),590,22g,84g,15g,,"15,00g"
Tepung Pisang Goreng,1 porsi (20 g),70,0g,18g,0g,"2,0g","0,000g"
Sosis Sapi Goreng,1 porsi (62 g),120,9g,1g,8g,,"1,00g"
Nasi Goreng XO,100 g,449,13g,49g,34g,,
