nama,porsi,kalori,lemak,karbs,protein,sodium,kolesterol
Roti Sandwich Gandum Kurma,1 porsi (50 g),130,"1,5g",25g,3g,,"25,00g"
Mantou,1 porsi (40 g),110,"1,5g",22g,5g,,50mg
Tawar Kupas,2 lembar (40 g),100,"1,5g",18g,4g,,"18,00g"
Roti Tawar Gandum Multiseed,2 lembar (80 g),130,0g,28g,4g,,"5,0g"
Klasik Kasur Krim Messes,1 potong (60 g),210,7g,33g,5g,,"33,00g"
Gordon Ramsay Salmon en Croute,1 portion,485,13g,49g,43g,,
Roti Isi Krim Hazelnut,1 porsi (50 g),170,"4,5g",27g,5g,,"2,0g"
Sandwich Blueberry,1 potong (65 g),175,3g,32g,3g,,"5,0g"
Potato Bun with Custard Filling,1 porsi (70 g),220,7g,35g,5g,,140mg
Roti Tawar Gandum,100 g,260,"3,5g",49g,8g,,"49,00g"
Sandwich Cokelat,1 bungkus (50 g),140,4g,22g,3g,,"22,00g"
Chocolate Molten Cake,1 buah,205,9g,28g,2g,,"20,00g"
Sandwich Chocolate,1 porsi (65 g),210,9g,30g,4g,,"11,00g"
Choco Roll,1 serving (60 g),210,7g,33g,4g,,"12,00g"
Roti Tawar Kupas,2 lembar  (50 g),140,3g,25g,4g,,"2,0g"
Roti,1 roti (35 g),120,"3,5g",21g,3g,"7,00g","0,000g"
Strawberry Roll,1 bungkus (55 g),180,6g,29g,4g,,180mg
Roti Sandwich tanpa Kulit Gandum,1 porsi (90 g),250,6g,41g,8g,,430mg
Burger Bun,1 bun (54 g),150,"1,5g",28g,6g,,"28,00g"
