Nama,Energy (kCal),Carbohydrates (g),Protein (g),Total Fat (g)
McDonalds McSwirl ChocoDip,160.14,20.92,2.71,7.14
McDonalds Regular Soft Serve: Hot Fudge,121.64,19.11,2.25,4.02
McDonalds Medium Soft Serve: Hot Fudge,197.45,30.42,3.49,6.87
McDonalds Regular Soft Serve: Strawberry,100.99,19.78,1.54,1.77
McDonalds Medium Soft Serve: Strawberry,156.14,31.77,2.05,2.36
McDonalds Regular Soft Serve: Brownie with Hot Fudge,205.26,35.26,3.2,5.45
McDonalds Medium Soft Serve: Brownie with Hot Fudge,311.39,55.24,4.65,7.46
McDonalds Regular Blackforest,237.89,43.42,3.22,5.47
McDonalds Medium Blackforest,429.95,79.04,5.42,9.76
McDonalds Small McFlurry - Oreo,116.36,18.69,2.05,3.7
McDonalds Regular McFlurry - Oreo,209.39,33.42,3.58,6.81
McDonalds American Triple Cheese Chicken,457.94,37.45,24.43,22.65
McDonalds American Triple Cheese Veg,524.69,56.24,19.54,23.16
McDonalds Cheese Lava Burger,671.06,74.25,14.99,33.48
McDonalds Chicken Cheese Lava Burger,834.36,76.03,27.37,45.18
McDonalds Chunky Chipotle American Burger Chicken,641.36,46.24,39.47,31.51
McDonalds McSpicy Premium Chicken Burger,622.25,43.6,31.49,34.65
McDonalds McSpicy Premium Veg Burger,634.71,46,22.44,39.21
McDonalds Piri piri Mc Spicy Veg Burger,517.98,58.87,11.97,24.53
McDonalds Cheesy Veg Nuggets (6pc),252.29,23.6,8.48,13.09
McDonalds Cheesy Veg Nuggets (9pc),378.43,35.4,12.72,19.63
McDonalds Small Coca-Cola,109.56,27.39,0,0
McDonalds Medium Coca-Cola,151.36,37.84,0,0
McDonalds Large Coca-Cola,217.36,54.34,0,0
McDonalds Small Fanta Oragne,129.48,32.37,0,0
McDonalds Medium Fanta Orange,178.88,44.72,0,0
McDonalds Large Fanta Oragne,256.88,64.22,0,0
McDonalds Small Thums-up,99.6,24.9,0,0
McDonalds Medium Thums-up,137.6,34.4,0,0
McDonalds Large Thums-up,197.6,49.4,0,0
McDonalds Small Sprite,119.52,29.88,0,0
McDonalds Medium Sprite,165.12,41.28,0,0
McDonalds Large Sprite,237.12,59.28,0,0
McDonalds Coke Float,138.76,29.22,1.52,1.75
McDonalds Fanta Float,151.56,32.42,1.52,1.75
McDonalds Sprite Float,145.16,30.82,1.52,1.75
McDonalds Coke Zero Can,0.99,0,0,0
McDonalds Vedica Natural Mineral Water,0,0,0,0
McDonalds Mustard diping sauce,81.18,7.24,0.52,5.57
McDonalds BBQ diping sauce,54.89,12.36,0.26,0.49
McDonalds Chilli Sauce,8.07,1.99,0.03,0.01
McDonalds Piri Piri Mix,17.13,2.5,0.51,0.36
McDonalds Tomato Ketchup Sachets,11.23,2.63,0.08,23.45
McDonalds Maple Syrup,86.4,21.6,0,0
McDonalds Cheese Slice,51.03,0.72,3.06,3.99
McDonalds Sweet Corn,45.08,7.55,1.47,1
McDonalds Mixed Fruit Beverage,72.25,18,0.65,0.02
KFC Hot Wings 2 pc,267.1,17.1,12.1,16.7
KFC Veg Strips 4pc,280.5,32.4,7,13.6
KFC Hot Wings 4 Pc,534.3,34.2,24.2,33.4
KFC Popcorn Reg,272,18,15,15.6
KFC Popcorn Med,374,24.7,20.6,21.4
KFC Popcorn Lrg,578,38.2,31.8,33.1
KFC Boneless Strips 3pc,358.6,20.7,27,18.6
KFC Boneless Strips 6pc,717.2,41.3,54.1,37.3
KFC Veg Biryani,512.4,74.5,9.7,19.3
KFC Classic chicken biryani,586.5,56.4,28.4,27.4
KFC Popcorn Chicken,587.4,69.7,23.4,24.4
